exp,bin_ms,pipeline,kind,n_neurons,pc95,pr,top_frac
NPBM,50,paper,null,62,40,8.66020665186438,0.29173904126864486
NPBM,100,raw,null,62,52,29.453102127538248,0.10275314196723445
NPBM,100,paper,null,62,30,5.256982016485828,0.3873992691900338
NPBM,300,raw,null,62,49,12.802989325832447,0.2154202828249223
NPBM,300,paper,null,62,13,3.2829254338665956,0.49754117825434996
NPBN,1,raw,real,61,46,24.45236508035194,0.12694143872456998
NPBN,1,paper,real,61,38,5.215249081417153,0.4211454764833182
NPBN,5,raw,real,61,44,9.685768858037658,0.2950812736573921
NPBN,5,paper,real,61,38,5.310647884693408,0.4170849992684329
NPBN,10,raw,real,61,42,5.738614330264246,0.402077330443188
NPBN,10,paper,real,61,39,5.97085207264711,0.39048571671444043
NPBN,50,raw,real,61,37,3.1988981200795186,0.5517806086821275
NPBN,50,paper,real,61,27,4.268073421824807,0.4639647847543507
NPBN,100,raw,real,61,37,3.1471633868928075,0.5559095185731223
NPBN,100,paper,real,61,21,5.452219509632349,0.3794861652674098
NPBN,300,raw,real,61,37,3.9173535166689755,0.4919335152175765
NPBN,300,paper,real,61,10,4.920597583051533,0.3261133283005778
NPBN,1,raw,null,61,47,27.483496202145176,0.08959798442293651
NPBN,1,paper,null,61,40,16.978875061086377,0.15097077382928129
NPBN,5,raw,null,61,45,22.958296413387004,0.11368197096432996
NPBN,5,paper,null,61,40,17.163606636108174,0.14875409378559362
NPBN,10,raw,null,61,43,18.867433394362113,0.13709992231148918
NPBN,10,paper,null,61,40,17.991978229775075,0.14262098249538352
NPBN,50,raw,null,61,40,13.806304928549832,0.1894844280277326
NPBN,50,paper,null,61,31,14.42161446382607,0.1413288709432701
NPBN,100,raw,null,61,40,11.508196697517052,0.23536158312267963
NPBN,100,paper,null,61,23,11.107354917079006,0.1880316403614545
NPBN,300,raw,null,61,37,3.9173535166689755,0.4919335152175765
NPBN,300,paper,null,61,10,4.920597583051533,0.3261133283005778
